version,released
17.4.2,2026-05-21
17.4.1,2026-05-19
18.0.0-beta2,2026-05-14
17.4.0,2026-05-14
18.0.0-beta1,2026-05-13
17.4.0-rc3,2026-05-08
17.4.0-rc2,2026-05-04
17.4.0-rc,2026-04-30
17.3.5,2026-04-30
13.14.0,2026-04-30
13.14.0-rc3,2026-04-23
13.14.0-rc2,2026-04-20
17.3.4,2026-04-16
13.14.0-rc,2026-04-16
17.3.3,2026-04-13
17.3.2,2026-04-10
17.3.1,2026-04-08
17.3.0,2026-04-02
17.3.0-rc3,2026-03-27
17.3.0-rc2,2026-03-24
17.3.0-rc,2026-03-19
13.13.1,2026-03-12
17.2.2,2026-03-10
16.5.1,2026-03-10
17.2.1,2026-02-26
17.2.0,2026-02-19
17.2.0-rc2,2026-02-12
17.2.0-rc,2026-02-05
16.5.0,2026-01-22
17.1.0,2026-01-08
16.5.0-rc,2026-01-08
17.1.0-rc,2025-12-23
13.13.0,2025-12-18
17.0.2,2025-12-11
13.13.0-rc3,2025-12-10
13.13.0-rc2,2025-12-09
13.12.1,2025-12-09
17.0.1,2025-12-05
16.4.1,2025-12-05
13.13.0-rc,2025-12-04
17.0.0,2025-11-27
16.4.0,2025-11-26
17.0.0-rc4,2025-11-25
17.0.0-rc3,2025-11-20
16.4.0-rc2,2025-11-20
13.12.0,2025-11-20
17.0.0-rc2,2025-11-13
16.4.0-rc,2025-11-13
13.12.0-rc2,2025-11-11
13.12.0-rc,2025-11-06
17.0.0-rc1,2025-10-30
16.3.4,2025-10-29
16.3.3,2025-10-24
16.3.2,2025-10-22
16.3.1,2025-10-17
16.3.0,2025-10-16
17.0.0-beta,2025-10-15
13.11.0,2025-10-09
16.3.0-rc4,2025-10-08
16.3.0-rc3,2025-10-07
16.3.0-rc2,2025-10-03
16.3.0-rc,2025-10-02
13.11.0-rc2,2025-10-02
13.11.0-rc,2025-09-25
13.10.1,2025-09-23
16.2.0,2025-09-04
16.2.0-rc2,2025-08-28
16.2.0-rc,2025-08-21
13.10.0,2025-08-14
13.10.0-rc,2025-07-31
16.1.1,2025-07-29
15.4.4,2025-07-29
13.9.3,2025-07-29
16.1.0,2025-07-24
16.1.0-rc,2025-07-10
13.9.2,2025-06-24
10.8.11,2025-06-24
16.0.0,2025-06-12
16.0.0-rc6,2025-06-10
15.4.3,2025-06-10
13.9.1,2025-06-10
16.0.0-rc5,2025-06-06
13.9.0,2025-06-05
15.4.2,2025-06-03
16.0.0-rc4,2025-05-29
13.9.0-rc,2025-05-22
16.0.0-rc3,2025-05-21
16.0.0-rc2,2025-05-14
13.8.1,2025-05-06
10.8.10,2025-05-06
15.4.1,2025-05-05
15.4.0,2025-05-01
16.0.0-rc,2025-04-30
15.4.0-rc2,2025-04-17
15.4.0-rc,2025-04-15
13.8.0,2025-04-10
15.3.1,2025-04-08
14.3.4,2025-04-08
13.8.0-rc,2025-03-27
15.3.0,2025-03-20
13.7.2,2025-03-12
15.3.0-rc2,2025-03-11
15.2.3,2025-03-11
14.3.3,2025-03-11
13.7.1,2025-03-11
10.8.9,2025-03-11
15.3.0-rc,2025-03-06
13.7.0,2025-02-27
15.2.2,2025-02-20
13.7.0-rc,2025-02-13
15.2.1,2025-02-11
15.2.0,2025-02-06
13.6.0,2025-01-30
15.2.0-rc,2025-01-23
15.1.2,2025-01-21
14.3.2,2025-01-21
13.5.3,2025-01-21
10.8.8,2025-01-21
13.6.0-rc2,2025-01-16
15.1.1,2024-12-12
15.1.0,2024-12-11
13.6.0-rc,2024-12-11
15.1.0-rc2,2024-12-09
15.1.0-rc,2024-11-28
15.0.0,2024-11-14
15.0.0-rc4,2024-11-13
15.0.0-rc3,2024-11-06
14.3.1,2024-10-22
13.5.2,2024-10-22
10.8.7,2024-10-22
15.0.0-rc2,2024-10-17
14.3.0,2024-10-03
15.0.0-rc1,2024-10-02
14.3.0-rc,2024-09-19
13.5.1,2024-09-19
13.5.0,2024-09-12
13.5.0-rc,2024-08-28
14.2.0,2024-08-22
14.1.2,2024-08-20
14.2.0-rc2,2024-08-12
14.2.0-rc,2024-08-08
14.1.1,2024-07-17
14.1.0,2024-07-11
13.4.1,2024-07-11
14.1.0-rc2,2024-07-04
14.1.0-rc,2024-06-27
13.4.0,2024-06-20
13.4.0-rc2,2024-06-18
13.4.0-rc,2024-06-04
14.0.0,2024-05-30
14.0.0-rc5,2024-05-29
14.0.0-rc4,2024-05-23
13.3.2,2024-05-23
13.3.1,2024-05-21
12.3.10,2024-05-21
10.8.6,2024-05-21
14.0.0-rc3,2024-05-07
14.0.0-rc2,2024-04-25
13.3.0,2024-04-18
14.0.0-rc1,2024-04-17
13.3.0-rc,2024-04-04
13.2.2,2024-03-20
12.3.9,2024-03-20
13.2.1,2024-03-19
12.3.8,2024-03-19
10.8.5,2024-03-19
